2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:   0, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:   1, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:   2, val: c6
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:   3, val: ce
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:   4, val:  3
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:   5, val: 11
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:   6, val:  6
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:   7, val:  3
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:   8, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:   9, val: 17
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:   a, val:  9
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:   b, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:   c, val:  e
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:   d, val:  3
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:   e, val: 60
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:   f, val:  4
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  10, val: cc
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  11, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  12, val: 10
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  13, val:  1
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  14, val: 21
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  15, val:  4
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  16, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  17, val: 1a
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  18, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  19, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  1a, val: 37
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  1b, val: 37
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  1c, val: 10
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  1d, val:  1
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  1e, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  1f, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  20, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  21, val:  a
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  22, val:  a
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  23, val: 3c
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  24, val:  2
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  25, val:  2
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  26, val: 80
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  27, val:  3
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  28, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  29, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  2a, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  2b, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  2c, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  2d, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  2e, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  2f, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  30, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  31, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  32, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  33, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  34, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  35, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  36, val: ff
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  37, val:  a
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  38, val: 80
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  39, val: 34
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  3a, val: 7a
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  3b, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  3c, val: 25
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  3d, val: ff
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  3e, val:  f
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  3f, val:  1
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  40, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  41, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  42, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  43, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  44, val: 10
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  45, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  46, val:  3
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  47, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  48, val: e8
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  49, val: 5b
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  4a, val: 35
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  4b, val: e1
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  4c, val: 86
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  4d, val:  5
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  4e, val: 10
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  4f, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  50, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  51, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  52, val:  3
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  53, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  54, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  55, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  56, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  57, val: 3c
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  58, val: 30
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  59, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  5a, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  5b, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  5c, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  5d, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  5e, val: 81
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  5f, val:  1
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  60, val: 3f
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  61, val: f6
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  62, val: ff
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  63, val: f6
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  64, val: ff
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  65, val: 78
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  66, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  67, val: 13
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  68, val: 18
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  69, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  6a, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  6b, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  6c, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  6d, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  6e, val:  8
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  6f, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  70, val: c1
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  71, val: c1
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  72, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  73, val: ff
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  74, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  75, val: ff
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  76, val:  0
